post_id,post_date,open_rate
77600140,2022-10-10T17:06:16Z,0
81055905,2022-10-31T14:00:59Z,0.6041666666666666
82163372,2022-11-07T15:00:53Z,0.4852941176470588
83973309,2022-11-14T15:02:29Z,0.4900662251655629
85930591,2022-11-21T17:23:29Z,0.4342857142857143
87199123,2022-11-28T14:55:08Z,0.43258426966292135
88688996,2022-12-05T15:00:28Z,0.44623655913978494
90107062,2022-12-12T15:01:21Z,0.42783505154639173
90241119,2022-12-19T20:42:08Z,0.3793103448275862
93017750,2022-12-26T16:53:04Z,0.4029126213592233
94247960,2023-01-02T17:44:58Z,0.45410628019323673
95658643,2023-01-09T17:05:10Z,0.40298507462686567
97171227,2023-01-17T15:41:11Z,0.37155963302752293
99279223,2023-01-30T20:49:08Z,0.42338709677419356
99880496,2023-02-06T15:04:12Z,0.4457831325301205
101944408,2023-02-13T18:05:35Z,0.4087301587301587
103723067,2023-02-22T15:51:31Z,0.4189723320158103
104937083,2023-02-27T16:00:17Z,0.42578125
106269465,2023-03-06T15:01:54Z,0.41245136186770426
108197617,2023-03-13T16:44:38Z,0.3783783783783784
109633681,2023-03-20T23:38:49Z,0.3961038961038961
111029152,2023-03-27T15:34:40Z,0.4492307692307692
111684143,2023-04-03T16:47:39Z,0.43023255813953487
112697919,2023-04-10T15:34:47Z,0.4342857142857143
115322939,2023-04-17T19:41:26Z,0.42134831460674155
116797341,2023-04-24T14:01:01Z,0.38315217391304346
118434010,2023-05-01T12:01:07Z,0.3962765957446808
119549291,2023-05-08T17:02:05Z,0.412532637075718
121616248,2023-05-15T19:36:00Z,0.40816326530612246
123103849,2023-05-22T20:47:40Z,0.39054726368159204
124732999,2023-05-30T14:00:51Z,0.38480392156862747
126192197,2023-06-05T17:49:21Z,0.43137254901960786
127189594,2023-06-12T17:08:53Z,0.3908872901678657
129746892,2023-06-20T16:29:48Z,0.41866028708133973
130826538,2023-06-26T14:09:04Z,0.38534278959810875
132782850,2023-07-03T15:41:44Z,0.3981264637002342
133742692,2023-07-10T17:18:53Z,0.37420718816067655
135116824,2023-07-17T15:45:54Z,0.4100418410041841
135220253,2023-07-24T17:14:59Z,0.3747412008281574
135505583,NA,0
