Date,"Total Enabled Membership","Enabled Full Members","Enabled Guests","Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs","Total Full Members","Total Guests","Total Claimed Full Members","Total Claimed Guests","Total Members","Total Claimed Members","Files uploaded","Messages posted by members",Name,"Public channels, single-workspace","Messages posted","Messages posted by apps"
2018-02-14,0,0,0,14,6,20,10,7,0,0,3,0.7,0,0.3,0.8333,0,0.1667,33,0,33,0,33,33,0,10,0,8,10,0
2018-02-15,0,0,0,16,6,20,12,11,0,0,15,0.4231,0,0.5769,0.6265,0,0.3735,33,0,33,0,33,33,0,26,0,8,26,0
2018-02-16,0,0,0,18,4,22,11,5,0,0,34,0.1282,0,0.8718,0.4231,0,0.5769,33,0,33,0,33,33,0,39,0,8,39,0
2018-02-17,0,0,0,5,0,22,11,0,0,0,0,0,0,0,0.875,0,0.125,33,0,33,0,33,33,0,0,0,8,0,0
2018-02-18,0,0,0,0,0,22,11,0,0,0,0,0,0,0,0,0,0,33,0,33,0,33,33,0,0,0,8,0,0
2018-02-19,0,0,0,4,0,22,10,0,0,0,0,0,0,0,0.6,0,0.4,33,0,33,0,33,33,0,0,0,8,1,0
2018-02-20,0,0,0,8,2,23,11,1,0,0,1,0.5,0,0.5,0.8696,0,0.1304,33,0,33,0,33,33,0,2,0,8,2,0
2018-02-21,0,0,0,11,6,23,10,9,0,0,69,0.1154,0,0.8846,0.3351,0,0.6649,33,0,33,0,33,33,0,78,0,8,78,0
2018-02-22,0,0,0,16,6,22,8,9,0,0,3,0.75,0,0.25,0.931,0,0.069,33,0,33,0,33,33,0,12,0,9,18,6
2018-02-23,0,0,0,9,1,19,8,3,0,0,0,1,0,0,1,0,0,33,0,33,0,33,33,0,3,0,9,3,0
2018-02-24,0,0,0,2,1,18,8,1,0,0,0,1,0,0,1,0,0,33,0,33,0,33,33,0,1,0,9,1,0
2018-02-25,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,0,33,0,33,0,33,33,0,0,0,9,0,0
2018-02-26,0,0,0,14,3,19,9,12,0,0,0,1,0,0,0.9825,0,0.0175,33,0,33,0,33,33,0,12,0,9,12,0
2018-02-27,0,0,0,14,5,22,11,4,0,0,28,0.125,0,0.875,0.299,0,0.701,34,0,34,0,34,34,0,32,0,9,38,0
2018-02-28,0,0,0,12,4,22,10,5,0,0,18,0.2174,0,0.7826,0.493,0,0.507,34,0,34,0,34,34,0,23,0,9,25,2
2018-03-01,0,0,0,12,2,23,9,1,0,0,3,0.25,0,0.75,0.8667,0,0.1333,34,0,34,0,34,34,0,4,0,9,4,0
2018-03-02,0,0,0,9,1,23,9,0,0,0,1,0,0,1,0.9032,0,0.0968,34,0,34,0,34,34,0,1,0,9,2,1
2018-03-03,0,0,0,1,0,23,9,0,0,0,0,0,0,0,1,0,0,34,0,34,0,34,34,0,0,0,9,0,0
2018-03-04,0,0,0,1,0,23,9,0,0,0,0,0,0,0,1,0,0,34,0,34,0,34,34,0,0,0,9,1,1
2018-03-05,0,0,0,7,1,22,8,1,0,0,0,1,0,0,1,0,0,34,0,34,0,34,34,0,1,0,9,3,2
2018-03-06,0,0,0,3,0,20,6,0,0,0,0,0,0,0,1,0,0,34,0,34,0,34,34,0,0,0,9,0,0
2018-03-07,0,0,0,6,3,18,6,2,0,0,3,0.4,0,0.6,0.6667,0,0.3333,34,0,34,0,34,34,0,5,0,9,5,0
